date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,Cumulative Confirmed Cases,New Confirmed Cases,Cumulative Probable Cases,New Probable Cases,Cumulative Fatalities,Fatalities by Date of Death,population
6/22/2021,Texas,25095675,31485795,13733578,39.86,86.55,11558001,47.36,108.59,46064,104012,3587,0.797,2538120,907,439460,346,51432,18,29730311
6/23/2021,Texas,25148409,31538265,13760302,39.96,86.73,11585706,47.46,108.77,52734,84263,2906,0.797,2538908,870,439351,292,51451,19,29730311
6/24/2021,Texas,25215418,31589575,13788548,40.1,86.96,11625904,47.55,108.95,67009,68558,2364,0.798,2540318,1091,440181,613,51466,15,29730311
6/25/2021,Texas,25289039,31693015,13819047,40.25,87.22,11671124,47.66,109.3,73621,64434,2222,0.798,2541586,684,440591,299,51485,19,29730311
6/26/2021,Texas,25394826,31798045,13855461,40.49,87.58,11740883,47.78,109.66,105787,69267,2389,0.799,2542877,888,441145,392,51500,15,29730311
6/27/2021,Texas,25504046,31798045,13887134,40.77,87.96,11821660,47.89,109.66,109220,71915,2480,0.802,2543158,261,441182,31,51519,19,29730311
6/28/2021,Texas,25565261,31798045,13908684,40.91,88.17,11862033,47.97,109.66,61215,73664,2540,0.804,2543253,221,441270,87,51543,24,29730311
6/29/2021,Texas,25616731,31835125,13935870,41,88.35,11888907,48.06,109.79,51470,74437,2567,0.805,2544966,1186,441881,460,51558,15,29730311
6/30/2021,Texas,25686380,31844105,13962839,41.15,88.59,11932087,48.15,109.82,69649,76853,2650,0.807,2546040,912,442417,347,51583,25,29730311
7/1/2021,Texas,25756467,31847565,13990784,41.3,88.83,11974642,48.25,109.83,70087,77293,2666,0.809,2547411,1144,443292,752,51597,14,29730311
7/2/2021,Texas,25815427,31882465,14018426,41.41,89.03,12006600,48.35,109.96,58960,75198,2593,0.81,2548878,1319,443736,389,51617,20,29730311
7/3/2021,Texas,25878519,31925105,14049144,41.52,89.25,12039497,48.45,110.1,63092,69099,2383,0.811,2549911,829,444141,347,51642,25,29730311
7/4/2021,Texas,25926954,31925105,14073332,41.61,89.42,12065113,48.54,110.1,48435,60415,2084,0.812,2550317,254,444154,7,51654,12,29730311
7/5/2021,Texas,,,,,,,,,25792.5,55355,1909,,2550524,200,444202,45,51675,21,29730311
7/6/2021,Texas,25978539,31925105,14100765,41.7,89.59,12091994,48.63,110.1,25792.5,51687,1783,0.814,2551193,573,444535,309,51693,18,29730311
7/7/2021,Texas,26017134,31925105,14123333,41.76,89.73,12109858,48.71,110.1,38595,47251,1630,0.815,2552507,1282,445067,509,51714,21,29730311
7/8/2021,Texas,26080182,32120555,14154745,41.88,89.94,12144561,48.82,110.78,63048,46245,1595,0.812,2555413,2853,446204,1118,51734,20,29730311
7/9/2021,Texas,26130140,32161705,14186150,41.96,90.12,12166820,48.92,110.92,49958,44959,1551,0.812,2557272,1798,446742,524,51760,26,29730311
7/10/2021,Texas,26195987,32252315,14215759,42.09,90.34,12205276,49.03,111.23,65847,45353,1564,0.812,2559101,1719,447233,478,51775,15,29730311
7/11/2021,Texas,26245668,32252315,14242190,42.18,90.52,12230164,49.12,111.23,49681,45531,1570,0.814,2559643,516,447291,54,51800,25,29730311
7/12/2021,Texas,26283364,32252315,14264125,42.24,90.65,12248085,49.19,111.23,37696,47231,1629,0.815,2560046,396,447425,134,51827,27,29730311
7/13/2021,Texas,26327776,32258525,14285663,42.33,90.8,12273969,49.27,111.25,44412,49891,1721,0.816,2562797,2613,448326,849,51851,24,29730311
7/14/2021,Texas,26394645,32293675,14315284,42.46,91.03,12312982,49.37,111.37,66869,53930,1860,0.817,2565034,2154,449215,866,51877,26,29730311
7/15/2021,Texas,26448461,32341455,14340944,42.56,91.21,12341791,49.46,111.54,53816,52611,1814,0.818,2568577,3462,450553,1307,51906,29,29730311
7/16/2021,Texas,26494893,32401485,14364801,42.64,91.37,12363923,49.54,111.75,46432,52108,1797,0.818,2571693,3008,451809,1231,51940,34,29730311
7/17/2021,Texas,26551336,32505445,14395623,42.73,91.57,12390950,49.65,112.1,56443,50764,1751,0.817,2574433,2686,452706,880,51965,25,29730311
7/18/2021,Texas,26598663,32505445,14421509,42.81,91.73,12412160,49.74,112.1,47327,50428,1739,0.818,2576284,1815,453001,286,51997,32,29730311
7/19/2021,Texas,26632345,32505445,14440646,42.86,91.85,12427484,49.8,112.1,33682,49854,1719,0.819,2577197,889,453145,144,52030,33,29730311
7/20/2021,Texas,26674874,32512905,14472510,42.96,92,12456699,49.91,112.13,42529,49585,1710,0.82,2580592,3304,454187,997,52070,40,29730311
7/21/2021,Texas,26744604,32549095,14513117,43.06,92.24,12484818,50.05,112.25,69730,49994,1724,0.822,2584324,3621,455656,1435,52110,40,29730311
7/22/2021,Texas,26817055,32594555,14569242,43.12,92.49,12503152,50.25,112.41,72451,52656,1816,0.823,2590934,6417,457641,1895,52143,33,29730311
7/23/2021,Texas,26881088,32783835,14610905,43.2,92.71,12527659,50.39,113.06,64033,55171,1903,0.82,2596610,5391,459501,1800,52194,51,29730311
7/24/2021,Texas,26882095,32896195,14610905,43.2,92.71,12527659,50.39,113.45,1007,47251,1630,0.817,2601663,4978,461052,1532,52239,45,29730311
7/25/2021,Texas,27014323,32896995,14697655,43.37,93.17,12575426,50.69,113.45,132228,59380,2048,0.821,2603725,2036,461348,294,52283,44,29730311
7/26/2021,Texas,27066624,32896995,14733626,43.43,93.35,12593905,50.81,113.45,52301,62040,2140,0.823,2605142,1387,461532,178,52324,41,29730311
7/27/2021,Texas,27113209,32941555,14767162,43.49,93.51,12609049,50.93,113.61,46585,62619,2160,0.823,2611808,6571,463508,1929,52383,59,29730311
7/28/2021,Texas,27175812,32980075,14810678,43.56,93.72,12630423,51.08,113.74,62603,61601,2124,0.824,2621979,10086,466337,2811,52435,52,29730311
7/29/2021,Texas,27256486,33175225,14866768,43.65,94,12658112,51.27,114.41,80674,62776,2165,0.822,2628528,6167,468318,1876,52490,55,29730311
7/30/2021,Texas,27335628,33347225,14922919,43.75,94.27,12684799,51.47,115.01,79142,64934,2239,0.82,2641702,13149,471101,2744,52542,52,29730311
7/31/2021,Texas,27420863,33560945,14982363,43.84,94.57,12713003,51.67,115.74,85235,76967,2654,0.817,2652783,10929,472916,1803,52598,56,29730311
8/1/2021,Texas,27497655,33560945,15035717,43.93,94.83,12737094,51.85,115.74,76792,69047,2381,0.819,2654872,2049,473230,310,52666,68,29730311
8/2/2021,Texas,27557900,33560945,15077760,44,95.04,12757537,52,115.74,60245,70182,2420,0.821,2658660,3781,473819,577,52740,74,29730311
8/3/2021,Texas,27622945,33637945,15116202,44.1,95.27,12786339,52.13,116.01,65045,72819,2511,0.821,2670535,11774,476505,2465,52800,60,29730311
8/4/2021,Texas,27700931,33696655,15171461,44.18,95.53,12810625,52.32,116.21,77986,75017,2587,0.822,2686339,15558,480037,3445,52866,66,29730311
8/5/2021,Texas,27779346,33790805,15226097,44.27,95.8,12835583,52.51,116.54,78415,74694,2576,0.822,2697312,10912,482795,2737,52923,57,29730311
8/6/2021,Texas,27862096,34087745,15287249,44.35,96.09,12858582,52.72,117.56,82750,75210,2594,0.817,2706267,8833,492953,2507,53000,77,29730311
8/7/2021,Texas,27952207,34349515,15352314,44.44,96.4,12884456,52.95,118.46,90111,75906,2618,0.814,2723255,16899,496045,3082,53068,68,29730311
8/8/2021,Texas,28037931,34349515,15413924,44.52,96.7,12908811,53.16,118.46,85724,77182,2662,0.816,2728670,5377,496412,363,53133,65,29730311
8/9/2021,Texas,28098028,34349655,15457140,44.58,96.9,12926750,53.31,118.46,60097,77161,2661,0.818,2730883,2151,496648,235,53206,73,29730311
8/10/2021,Texas,28158288,34468615,15499791,44.65,97.11,12946189,53.46,118.87,60260,76478,2638,0.817,2744957,13935,500158,3466,53265,59,29730311
8/11/2021,Texas,28227060,34561825,15548515,44.72,97.35,12967261,53.62,119.2,68772,75161,2592,0.817,2759325,14214,503958,3684,53309,44,29730311
8/12/2021,Texas,28324847,34847795,15614051,44.83,97.69,13000265,53.85,120.18,97787,77929,2688,0.813,2771471,11975,506998,2945,53336,27,29730311
8/13/2021,Texas,28446293,35149375,15696808,44.97,98.1,13039459,54.13,121.22,121446,83457,2878,0.809,2782130,10593,510050,3021,53351,15,29730311
8/14/2021,Texas,28577758,35305205,15776656,45.15,98.56,13092726,54.41,121.76,131465,89364,3082,0.809,2804145,21896,514656,4558,53366,15,29730311
8/15/2021,Texas,28671337,35306135,15834329,45.27,98.88,13127433,54.61,121.76,93579,90487,3121,0.812,2808388,4209,515585,889,53369,3,29730311
8/16/2021,Texas,28731472,35306415,15870912,45.35,99.09,13148736,54.74,121.76,60135,90492,3121,0.814,2813831,5343,515977,390,53370,1,29730311
8/17/2021,Texas,28806473,35488695,15914369,45.45,99.35,13179043,54.88,122.39,75001,92598,3193,0.812,2834135,20123,519913,4299,53370,0,29730311
8/18/2021,Texas,28887326,35778825,15961307,45.55,99.63,13208896,55.05,123.39,80853,94324,3253,0.807,2855024,20058,525096,5046,,0,29730311
