date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,Cumulative Confirmed Cases,New Confirmed Cases,Cumulative Probable Cases,New Probable Cases,Cumulative Fatalities,Fatalities by Date of Death,population
4/3/2021,Texas,12565129,16832185,7968097,15.36,43.33,4454581,27.48,58.05,247012,266353,9186,0.746,2401898,1250,389912,200,48897,44,29730311
4/4/2021,Texas,12808243,16832185,8100286,15.74,44.17,4564010,27.94,58.05,243114,266611,9195,0.761,2403393,1465,390131,219,48933,36,29730311
4/5/2021,Texas,13065244,16832185,8251415,16.11,45.06,4670842,28.46,58.05,257001,276433,9534,0.776,2404297,837,390186,53,48971,38,29730311
4/6/2021,Texas,13297711,17484305,8370495,16.54,45.86,4796711,28.87,60.3,232467,277198,9560,0.761,2408440,3365,391814,802,49019,48,29730311
4/7/2021,Texas,13533392,18495925,8501525,16.94,46.67,4912656,29.32,63.79,235681,275615,9505,0.732,2412115,3285,392683,813,49064,45,29730311
4/8/2021,Texas,13825974,18678115,8657293,17.48,47.68,5069262,29.86,64.42,292582,267858,9238,0.74,2415822,2445,393675,732,49098,34,29730311
4/9/2021,Texas,14219706,18984205,8883466,18.16,49.04,5264535,30.64,65.47,393732,271656,9369,0.749,2418286,2227,394613,791,49142,44,29730311
4/10/2021,Texas,14685955,19312495,9143541,18.98,50.65,5502168,31.53,66.6,466249,302975,10449,0.76,2420581,1902,395516,759,49184,42,29730311
4/11/2021,Texas,14959669,19312495,9293759,19.49,51.59,5650179,32.05,66.6,273714,307347,10600,0.775,2422139,1516,395730,209,49220,36,29730311
4/12/2021,Texas,15151731,19312495,9401590,19.86,52.25,5758786,32.42,66.6,192062,298070,10280,0.785,2423630,1444,395899,169,49266,46,29730311
4/13/2021,Texas,15343387,19772975,9522257,20.24,52.92,5867492,32.84,68.19,191656,292239,10079,0.776,2428867,4370,397939,1051,49314,48,29730311
4/14/2021,Texas,15610120,20671965,9670695,20.69,53.84,6000263,33.35,71.29,266733,296675,10232,0.755,2431276,2267,398866,909,49361,47,29730311
4/15/2021,Texas,15897950,20813575,9813128,21.24,54.83,6158775,33.84,71.78,287830,295997,10208,0.764,2434200,2770,399304,685,49397,36,29730311
4/16/2021,Texas,16167944,20983185,9942195,21.72,55.76,6298033,34.29,72.37,269994,278320,9599,0.771,2436571,2225,400407,976,49436,39,29730311
4/17/2021,Texas,16419173,21453555,10080135,22.1,56.63,6408763,34.76,73.99,251229,247603,8539,0.765,2438385,1657,401275,773,49475,39,29730311
4/18/2021,Texas,16539082,21453555,10146230,22.27,57.04,6458707,34.99,73.99,119909,225630,7781,0.771,2439892,1434,401672,389,49528,53,29730311
4/19/2021,Texas,16745114,21453555,10245431,22.63,57.75,6561710,35.33,73.99,206032,227626,7850,0.781,2440986,1073,401777,105,49563,35,29730311
4/20/2021,Texas,16870701,21882555,10302449,22.87,58.18,6631191,35.53,75.47,125587,218188,7525,0.771,2444933,3554,403887,821,49604,41,29730311
4/21/2021,Texas,17065670,23032495,10389002,23.23,58.86,6734779,35.83,79.43,194969,207936,7171,0.741,2448662,3503,405014,1015,49642,38,29730311
4/22/2021,Texas,17307611,23207205,10477069,23.74,59.69,6882900,36.13,80.04,241941,201380,6945,0.746,2451130,2195,405887,795,49682,40,29730311
4/23/2021,Texas,17543688,23429775,10567699,24.22,60.5,7023472,36.45,80.8,236077,196535,6778,0.749,2453803,2547,406686,759,49727,45,29730311
4/24/2021,Texas,17782171,23721275,10668749,24.68,61.33,7155176,36.79,81.81,238483,194714,6715,0.75,2455715,1768,407223,514,49766,39,29730311
4/25/2021,Texas,17979089,23721275,10747645,25.06,62.01,7267787,37.07,81.81,196918,205715,7095,0.758,2456905,1128,407440,216,49803,37,29730311
4/26/2021,Texas,18093739,23721275,10796687,25.29,62.4,7332085,37.24,81.81,114650,192661,6644,0.763,2458625,1390,407638,192,49832,29,29730311
4/27/2021,Texas,18218563,24079945,10849586,25.54,62.83,7404324,37.42,83.05,124824,192552,6641,0.757,2461831,3293,410040,898,49877,45,29730311
