location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,population
Panama,3/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/10/2020,1,1,,,,,0.232,0.232,,,,,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/11/2020,8,7,,1,1,,1.854,1.622,,0.232,0.232,,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/12/2020,11,3,,1,0,,2.549,0.695,,0.232,0,,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/13/2020,27,16,,1,0,,6.258,3.708,,0.232,0,,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/14/2020,36,9,,1,0,,8.343,2.086,,0.232,0,,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/15/2020,43,7,6.143,1,0,0.143,9.966,1.622,1.424,0.232,0,0.033,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/16/2020,55,12,7.857,1,0,0.143,12.747,2.781,1.821,0.232,0,0.033,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/17/2020,69,14,9.714,1,0,0.143,15.992,3.245,2.251,0.232,0,0.033,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/18/2020,86,17,11.143,1,0,0,19.932,3.94,2.582,0.232,0,0,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/19/2020,109,23,14,1,0,0,25.262,5.331,3.245,0.232,0,0,,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/20/2020,137,28,15.714,1,0,0,31.751,6.489,3.642,0.232,0,0,2.22,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/21/2020,200,63,23.429,1,0,0,46.352,14.601,5.43,0.232,0,0,2.23,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/22/2020,313,113,38.571,3,2,0.286,72.542,26.189,8.939,0.695,0.464,0.066,2.2,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/23/2020,345,32,41.429,6,3,0.714,79.958,7.416,9.602,1.391,0.695,0.166,2.13,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/24/2020,345,0,39.429,6,0,0.714,79.958,0,9.138,1.391,0,0.166,2.08,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/25/2020,443,98,51,8,2,1,102.671,22.713,11.82,1.854,0.464,0.232,2.06,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/26/2020,558,115,64.143,8,0,1,129.323,26.653,14.866,1.854,0,0.232,2.01,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/27/2020,674,116,76.714,9,1,1.143,156.208,26.884,17.779,2.086,0.232,0.265,1.95,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/28/2020,786,112,83.714,14,5,1.857,182.165,25.957,19.402,3.245,1.159,0.43,1.88,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/29/2020,901,115,84,17,3,2,208.818,26.653,19.468,3.94,0.695,0.464,1.82,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/30/2020,989,88,92,24,7,2.571,229.213,20.395,21.322,5.562,1.622,0.596,1.77,,,,,,,,,,,,,,,,,,,,4314768
Panama,3/31/2020,1181,192,119.429,30,6,3.429,273.711,44.498,27.679,6.953,1.391,0.795,1.73,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/1/2020,1181,0,105.429,30,0,3.143,273.711,0,24.434,6.953,0,0.728,1.65,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/2/2020,1317,136,108.429,32,2,3.429,305.231,31.52,25.13,7.416,0.464,0.795,1.61,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/3/2020,1475,158,114.429,37,5,4,341.849,36.618,26.52,8.575,1.159,0.927,1.59,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/4/2020,1673,198,126.714,41,4,3.857,387.738,45.889,29.368,9.502,0.927,0.894,1.55,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/5/2020,1801,128,128.571,46,5,4.143,417.404,29.666,29.798,10.661,1.159,0.96,1.52,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/6/2020,1988,187,142.714,54,8,4.286,460.743,43.34,33.076,12.515,1.854,0.993,1.5,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/7/2020,2100,112,131.286,55,1,3.571,486.701,25.957,30.427,12.747,0.232,0.828,1.47,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/8/2020,2249,149,152.571,59,4,4.143,521.233,34.533,35.36,13.674,0.927,0.96,1.44,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/9/2020,2528,279,173,63,4,4.429,585.895,64.662,40.095,14.601,0.927,1.026,1.41,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/10/2020,2752,224,182.429,66,3,4.143,637.809,51.915,42.28,15.296,0.695,0.96,1.36,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/11/2020,2974,222,185.857,74,8,4.714,689.261,51.451,43.075,17.15,1.854,1.093,1.32,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/12/2020,3234,260,204.714,79,5,4.714,749.519,60.258,47.445,18.309,1.159,1.093,1.29,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/13/2020,3400,166,201.714,87,8,4.714,787.991,38.473,46.75,20.163,1.854,1.093,1.24,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/14/2020,3472,72,196,94,7,5.571,804.678,16.687,45.425,21.786,1.622,1.291,1.21,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/15/2020,3574,102,189.286,95,1,5.143,828.318,23.64,43.869,22.017,0.232,1.192,1.18,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/16/2020,3751,177,174.714,103,8,5.714,869.34,41.022,40.492,23.872,1.854,1.324,1.16,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/17/2020,4016,265,180.571,109,6,6.143,930.757,61.417,41.85,25.262,1.391,1.424,1.16,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/18/2020,4210,194,176.571,116,7,6,975.719,44.962,40.923,26.884,1.622,1.391,1.14,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/19/2020,4273,63,148.429,120,4,5.857,990.32,14.601,34.4,27.811,0.927,1.357,1.13,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/20/2020,4467,194,152.429,126,6,5.571,1035.282,44.962,35.327,29.202,1.391,1.291,1.14,,,,,,,,,,,,,,,,,,,,4314768
Panama,4/21/2020,4658,191,169.429,136,10,6,1079.548,44.267,39.267,31.52,2.318,1.391,1.15,,,,,,,,,,,,,,,,,,,,4314768
